season,Season,Gamecode,Home,Player_ID,IsStarter,IsPlaying,Team,Dorsal,Player,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Valuation,Plusminus
2025,2025,20,1,P007982   ,1.0,1.0,ZAL,1,"WILLIAMS-GOSS, NIGEL",24:30,20,7,8,0,3,6,7,0,2,2,2,1,0,0,0,1,4,23,6.0
2025,2025,20,1,P007975   ,1.0,1.0,ZAL,3,"FRANCISCO, SYLVAIN",24:13,18,3,8,3,4,3,7,0,1,1,4,0,2,2,0,0,5,18,7.0
2025,2025,20,1,P012878   ,0.0,1.0,ZAL,7,"WRIGHT, MOSES",24:29,11,4,5,1,2,0,1,1,3,4,0,0,3,2,0,1,2,12,-7.0
2025,2025,20,1,P011983   ,1.0,0.0,ZAL,8,"BRAZDEIKIS, IGNAS",07:36,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,1,-3,2.0
2025,2025,20,1,P008192   ,0.0,0.0,ZAL,10,"TUBELIS, AZUOLAS",23:26,8,0,1,2,4,2,2,1,3,4,2,0,0,0,0,3,1,9,0.0
2025,2025,20,1,P007032   ,0.0,0.0,ZAL,12,"LO, MAODO",18:58,4,1,2,0,3,2,2,1,2,3,1,2,1,0,2,1,1,3,3.0
2025,2025,20,1,P011927   ,1.0,0.0,ZAL,14,"SLEVA, DUSTIN",11:41,4,2,4,0,1,0,0,2,1,3,0,1,1,0,1,3,1,1,6.0
2025,2025,20,1,P005504   ,1.0,0.0,ZAL,15,"BIRUTIS, LAURYNAS",12:11,9,4,5,0,0,1,3,1,2,3,0,0,0,1,0,1,2,11,11.0
2025,2025,20,1,P009299   ,0.0,0.0,ZAL,17,"RUBSTAVICIUS, MANTAS",04:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-4.0
2025,2025,20,1,P002676   ,0.0,1.0,ZAL,51,"BUTKEVICIUS, ARNAS",18:56,3,0,1,1,1,0,0,0,4,4,3,0,0,0,0,3,1,7,-1.0
2025,2025,20,1,P007029   ,0.0,0.0,ZAL,91,"SIRVYDIS, DEIVIDAS",05:13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3.0
2025,2025,20,1,P002329   ,0.0,1.0,ZAL,92,"ULANOVAS, EDGARAS",24:11,7,0,1,1,2,4,5,2,2,4,4,0,0,0,0,4,4,12,-5.0
2025,2025,20,1,Team,0.0,0.0,ZAL,,Team,,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,1,
2025,2025,20,1,Total,,,ZAL,,Total,200:00,84,21,37,8,21,18,27,8,23,31,16,5,12,5,3,19,22,91,
2025,2025,20,0,P014015   ,0.0,0.0,ULK,0,"BACOT JR., ARMANDO",09:17,4,2,3,0,0,0,0,1,0,1,1,0,0,1,0,2,1,5,-5.0
2025,2025,20,0,P003091   ,0.0,0.0,ULK,1,"BIRSEN, METECAN",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,20,0,P009863   ,0.0,1.0,ULK,2,"BALDWIN IV, WADE",27:10,36,9,14,5,8,3,5,0,2,2,4,1,1,0,2,0,4,34,8.0
2025,2025,20,0,P002849   ,0.0,1.0,ULK,4,"MELLI, NICOLO",26:31,5,1,1,1,6,0,0,1,3,4,1,2,1,0,0,2,4,8,9.0
2025,2025,20,0,P014124   ,1.0,1.0,ULK,8,"HORTON TUCKER, TALEN",21:38,10,4,7,0,5,2,3,2,4,6,0,0,2,0,2,4,4,3,-7.0
2025,2025,20,0,P014016   ,0.0,0.0,ULK,11,"BOSTON JR., BRANDON",04:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0
2025,2025,20,0,P006961   ,0.0,1.0,ULK,13,"BIBEROVIC, TARIK",17:19,2,1,3,0,2,0,0,0,1,1,0,0,1,0,0,4,0,-6,-9.0
2025,2025,20,0,P007929   ,0.0,0.0,ULK,17,"BITIM, ONURALP",14:49,6,3,3,0,0,0,0,0,1,1,0,0,1,0,0,4,0,2,7.0
2025,2025,20,0,P012613   ,1.0,0.0,ULK,18,"JANTUNEN, MIKAEL",28:09,2,1,1,0,1,0,0,3,1,4,1,0,0,2,0,3,1,6,4.0
2025,2025,20,0,P011205   ,1.0,1.0,ULK,20,"HALL, DEVON",30:31,12,6,9,0,0,0,0,1,4,5,4,1,2,0,0,2,3,18,0.0
2025,2025,20,0,P009783   ,1.0,0.0,ULK,50,"COLSON, BONZIE",09:10,2,1,3,0,1,0,0,0,2,2,0,0,1,0,1,0,1,0,-12.0
2025,2025,20,0,P007182   ,1.0,0.0,ULK,92,"BIRCH, KHEM",11:10,2,0,2,0,0,2,2,1,3,4,1,0,1,0,0,1,1,4,-7.0
2025,2025,20,0,Team,0.0,0.0,ULK,,Team,,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,
2025,2025,20,0,Total,,,ULK,,Total,200:00,81,28,46,6,23,7,10,11,23,34,12,4,10,3,5,22,19,78,
2025,2025,30,1,P003091   ,0.0,0.0,ULK,1,"BIRSEN, METECAN",11:06,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,1,-4.0
2025,2025,30,1,P009863   ,0.0,1.0,ULK,2,"BALDWIN IV, WADE",26:26,8,3,5,0,3,2,7,1,3,4,8,1,3,0,0,2,5,11,-4.0
2025,2025,30,1,P006661   ,0.0,0.0,ULK,3,"WILBEKIN, SCOTTIE",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,30,1,P002849   ,0.0,0.0,ULK,4,"MELLI, NICOLO",17:42,2,1,2,0,2,0,0,1,5,6,2,0,0,0,0,5,0,2,-5.0
2025,2025,30,1,P014124   ,1.0,1.0,ULK,8,"HORTON TUCKER, TALEN",29:19,19,4,7,1,4,8,13,0,2,2,3,2,1,2,1,2,9,22,4.0
2025,2025,30,1,P002969   ,0.0,0.0,ULK,10,"MAHMUTOGLU, MELIH",06:17,3,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,3.0
2025,2025,30,1,P006961   ,0.0,0.0,ULK,13,"BIBEROVIC, TARIK",20:20,3,0,4,1,5,0,0,0,2,2,2,1,1,0,0,2,0,-3,-6.0
2025,2025,30,1,P007929   ,0.0,0.0,ULK,17,"BITIM, ONURALP",02:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,0.0
2025,2025,30,1,P012613   ,1.0,1.0,ULK,18,"JANTUNEN, MIKAEL",29:12,15,3,6,1,5,6,6,3,2,5,1,1,1,0,1,4,4,13,-3.0
2025,2025,30,1,P011205   ,1.0,1.0,ULK,20,"HALL, DEVON",31:08,9,0,1,1,2,6,7,2,2,4,4,0,4,0,0,4,4,10,-1.0
2025,2025,30,1,P009783   ,1.0,1.0,ULK,50,"COLSON, BONZIE",16:11,19,0,2,4,5,7,7,0,2,2,0,0,1,0,1,1,4,19,-4.0
2025,2025,30,1,P007182   ,1.0,0.0,ULK,92,"BIRCH, KHEM",10:05,1,0,0,0,0,1,2,0,4,4,1,0,1,0,0,3,1,2,-5.0
2025,2025,30,1,Team,0.0,0.0,ULK,,Team,,0,0,0,0,0,0,0,3,2,5,0,0,1,0,0,0,0,4,
2025,2025,30,1,Total,,,ULK,,Total,200:00,81,11,28,9,27,32,44,10,25,35,21,5,15,2,3,26,28,81,
2025,2025,30,0,P009048   ,1.0,1.0,RED,0,"MILLER-MCINTYRE, CODI",29:13,10,3,5,1,4,1,3,1,2,3,7,1,4,0,1,4,1,6,12.0
2025,2025,30,0,P014094   ,0.0,0.0,RED,2,"MILJENOVIC, STEFAN",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,30,0,P007960   ,0.0,0.0,RED,7,"DAVIDOVAC, DEJAN",13:05,1,0,2,0,0,1,2,1,2,3,0,0,0,0,0,2,1,0,2.0
2025,2025,30,0,P011305   ,1.0,1.0,RED,11,"CARTER, TYSON",26:11,15,2,7,3,6,2,2,1,1,2,3,1,1,0,0,3,3,12,2.0
2025,2025,30,0,P004866   ,1.0,0.0,RED,12,"KALINIC, NIKOLA",24:48,2,1,2,0,1,0,1,0,3,3,3,0,2,0,0,5,2,0,4.0
2025,2025,30,0,P014029   ,0.0,0.0,RED,15,"IZUNDU, EBUKA",14:52,5,2,4,0,0,1,3,3,2,5,1,1,0,0,0,3,3,8,-3.0
2025,2025,30,0,PLCZ      ,1.0,0.0,RED,20,"MOTIEJUNAS, DONATAS",14:45,13,5,5,0,0,3,6,2,4,6,0,0,0,0,0,3,6,19,6.0
2025,2025,30,0,P013363   ,0.0,1.0,RED,33,"NWORA, JORDAN",25:53,11,4,5,0,3,3,4,0,4,4,1,1,1,1,0,1,3,14,3.0
2025,2025,30,0,P011982   ,0.0,0.0,RED,37,"OJELEYE, SEMI",11:26,0,0,1,0,1,0,0,0,2,2,1,0,0,0,0,1,0,0,-5.0
2025,2025,30,0,P012201   ,1.0,1.0,RED,95,"MONEKE, CHIMA",26:56,20,6,8,1,2,5,6,4,8,12,1,2,2,2,0,3,3,31,8.0
2025,2025,30,0,P012044   ,0.0,1.0,RED,99,"DOS SANTOS, YAGO",12:51,9,0,3,1,3,6,6,1,1,2,2,0,4,0,1,3,4,4,-4.0
2025,2025,30,0,Team,0.0,0.0,RED,,Team,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-3,
2025,2025,30,0,Total,,,RED,,Total,200:00,86,23,42,6,20,22,33,13,29,42,19,6,17,3,2,28,26,91,
2025,2025,33,1,P003091   ,0.0,1.0,ULK,1,"BIRSEN, METECAN",07:26,4,2,5,0,0,0,0,3,2,5,0,1,0,0,1,1,2,7,3.0
2025,2025,33,1,P009863   ,0.0,0.0,ULK,2,"BALDWIN IV, WADE",22:18,12,6,7,0,2,0,0,0,1,1,5,0,1,0,0,3,1,12,-18.0
2025,2025,33,1,P006661   ,1.0,0.0,ULK,3,"WILBEKIN, SCOTTIE",14:39,7,2,4,1,4,0,0,0,0,0,0,0,1,0,0,4,1,-2,-15.0
2025,2025,33,1,P002849   ,0.0,0.0,ULK,4,"MELLI, NICOLO",13:44,3,1,2,0,0,1,2,0,0,0,0,2,3,1,0,4,2,-1,-17.0
2025,2025,33,1,P002969   ,0.0,1.0,ULK,10,"MAHMUTOGLU, MELIH",04:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
2025,2025,33,1,P006961   ,0.0,0.0,ULK,13,"BIBEROVIC, TARIK",21:36,4,2,2,0,3,0,0,1,0,1,1,0,0,0,0,4,0,-1,-12.0
2025,2025,33,1,P007929   ,0.0,1.0,ULK,17,"BITIM, ONURALP",17:17,6,0,1,2,4,0,0,0,1,1,0,0,1,2,0,3,1,3,-11.0
2025,2025,33,1,P012613   ,1.0,1.0,ULK,18,"JANTUNEN, MIKAEL",19:12,4,1,2,0,2,2,2,2,4,6,0,0,0,0,0,4,4,7,0.0
2025,2025,33,1,P011205   ,1.0,0.0,ULK,20,"HALL, DEVON",23:26,10,2,2,0,1,6,6,1,5,6,1,1,4,0,0,1,5,17,-17.0
2025,2025,33,1,P008104   ,0.0,1.0,ULK,32,"ZAGARS, ARTURS",18:38,7,1,3,1,2,2,2,0,0,0,1,0,2,0,0,2,2,3,2.0
2025,2025,33,1,P009783   ,1.0,0.0,ULK,50,"COLSON, BONZIE",21:23,12,3,6,1,5,3,3,1,3,4,0,1,2,0,0,0,2,10,-26.0
2025,2025,33,1,P007182   ,1.0,0.0,ULK,92,"BIRCH, KHEM",15:54,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,1,0,2,-14.0
2025,2025,33,1,Team,0.0,0.0,ULK,,Team,,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,
2025,2025,33,1,Total,,,ULK,,Total,200:00,69,20,34,5,23,14,15,9,19,28,10,5,15,3,1,27,20,59,
2025,2025,33,0,P005942   ,0.0,0.0,DUB,2,"DANGUBIC, NEMANJA",00:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,33,0,P011286   ,1.0,1.0,DUB,3,"BACON, DWAYNE",34:12,21,5,9,2,8,5,6,2,2,4,0,2,3,0,2,1,6,16,21.0
2025,2025,33,0,P003527   ,0.0,1.0,DUB,5,"ABASS, AWUDU",19:38,2,1,2,0,1,0,1,1,1,2,0,2,0,0,0,1,0,2,10.0
2025,2025,33,0,P002661   ,1.0,1.0,DUB,7,"PREPELIC, KLEMEN",31:37,13,2,2,3,4,0,0,0,0,0,6,2,0,0,0,3,2,19,21.0
2025,2025,33,0,P003458   ,0.0,1.0,DUB,8,"BERTANS, DAVIS",27:12,13,0,0,2,6,7,7,2,3,5,1,0,1,0,0,4,2,12,5.0
2025,2025,33,0,P012795   ,0.0,0.0,DUB,10,"ANDERSON, JUSTIN",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,33,0,P012796   ,1.0,0.0,DUB,17,"KABENGELE, MFIONDU",23:40,26,6,8,2,3,8,9,3,4,7,1,1,2,0,0,3,5,31,18.0
2025,2025,33,0,P014141   ,0.0,0.0,DUB,22,"ARMSTRONG, TARAN",06:08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-3,0.0
2025,2025,33,0,P012606   ,1.0,0.0,DUB,25,"WRIGHT IV, MCKINLEY",31:01,7,0,4,1,2,4,4,0,2,2,6,3,0,0,1,3,5,14,27.0
2025,2025,33,0,P011194   ,1.0,1.0,DUB,30,"PETRUSEV, FILIP",24:10,11,4,7,0,0,3,4,3,5,8,2,0,2,1,0,3,4,17,20.0
2025,2025,33,0,P000956   ,0.0,0.0,DUB,33,"ANDJUSIC, DANILO",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,33,0,P008325   ,0.0,0.0,DUB,34,"KAMENJAS, KENAN",02:15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.0
2025,2025,33,0,Team,0.0,0.0,DUB,,Team,,0,0,0,0,0,0,0,1,4,5,0,0,1,0,0,0,0,4,
2025,2025,33,0,Total,,,DUB,,Total,200:00,93,18,33,10,25,27,31,12,21,33,16,10,9,1,3,20,24,111,
2025,2025,42,1,P003091   ,0.0,1.0,ULK,1,"BIRSEN, METECAN",11:45,6,1,1,0,1,4,4,0,3,3,0,1,1,0,0,2,3,9,-1.0
2025,2025,42,1,P009863   ,0.0,0.0,ULK,2,"BALDWIN IV, WADE",21:52,13,5,7,0,1,3,4,0,3,3,3,1,5,0,0,1,6,16,2.0
2025,2025,42,1,P006661   ,1.0,0.0,ULK,3,"WILBEKIN, SCOTTIE",15:46,14,1,2,4,8,0,0,0,1,1,3,2,1,0,0,2,2,14,7.0
2025,2025,42,1,P002849   ,0.0,0.0,ULK,4,"MELLI, NICOLO",15:31,4,2,2,0,0,0,0,0,4,4,3,0,3,2,0,2,1,9,9.0
2025,2025,42,1,P002969   ,0.0,1.0,ULK,10,"MAHMUTOGLU, MELIH",04:53,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,-7.0
2025,2025,42,1,P006961   ,0.0,1.0,ULK,13,"BIBEROVIC, TARIK",23:17,6,1,4,1,2,1,1,1,1,2,2,0,1,0,0,2,1,4,3.0
2025,2025,42,1,P007929   ,0.0,0.0,ULK,17,"BITIM, ONURALP",11:35,2,1,1,0,1,0,0,0,2,2,0,1,0,0,0,5,1,0,6.0
2025,2025,42,1,P012613   ,1.0,1.0,ULK,18,"JANTUNEN, MIKAEL",18:45,15,0,0,5,6,0,0,0,1,1,0,0,0,0,0,3,1,13,-5.0
2025,2025,42,1,P011205   ,1.0,1.0,ULK,20,"HALL, DEVON",21:18,10,3,4,1,4,1,1,1,4,5,3,0,1,0,0,2,3,14,11.0
2025,2025,42,1,P008104   ,0.0,0.0,ULK,32,"ZAGARS, ARTURS",16:53,8,2,3,0,1,4,6,0,1,1,4,1,1,0,0,0,4,13,11.0
2025,2025,42,1,P009783   ,1.0,0.0,ULK,50,"COLSON, BONZIE",21:29,7,1,1,1,1,2,2,1,2,3,1,1,1,0,0,2,1,10,24.0
2025,2025,42,1,P007182   ,1.0,0.0,ULK,92,"BIRCH, KHEM",16:56,0,0,1,0,0,0,0,0,5,5,1,0,1,0,1,3,0,0,15.0
2025,2025,42,1,Team,0.0,0.0,ULK,,Team,,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,2,
2025,2025,42,1,Total,,,ULK,,Total,200:00,88,17,26,13,27,15,18,6,27,33,20,7,16,2,1,24,23,106,
2025,2025,42,0,P011244   ,0.0,1.0,MUN,1,"DA SILVA, OSCAR",08:52,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.0
2025,2025,42,0,P013378   ,1.0,0.0,MUN,4,"RATHAN-MAYES, XAVIER",14:26,0,0,2,0,5,0,0,0,2,2,1,1,1,0,0,1,2,-3,-13.0
2025,2025,42,0,P001557   ,0.0,0.0,MUN,5,"GIFFEY, NIELS",13:00,4,0,2,1,3,1,2,0,1,1,1,3,1,0,0,3,3,3,-14.0
2025,2025,42,0,P004512   ,1.0,0.0,MUN,8,"KRATZER, LEON",08:12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,-1,-8.0
2025,2025,42,0,P013290   ,0.0,1.0,MUN,10,"JESSUP, JUSTINIAN",15:21,7,2,2,1,3,0,0,1,0,1,2,0,1,0,0,1,0,6,-9.0
2025,2025,42,0,P001288   ,1.0,0.0,MUN,11,"LUCIC, VLADIMIR",24:39,10,4,6,0,1,2,2,0,2,2,2,0,2,0,0,2,3,10,-6.0
2025,2025,42,0,P004508   ,0.0,0.0,MUN,13,"OBST, ANDREAS",23:17,13,2,2,3,7,0,0,0,1,1,3,3,1,0,0,1,4,18,-5.0
2025,2025,42,0,P009513   ,0.0,1.0,MUN,21,"HOLLATZ, JUSTUS",17:14,0,0,4,0,0,0,0,1,1,2,1,0,1,0,1,2,0,-5,-15.0
2025,2025,42,0,P011836   ,1.0,0.0,MUN,22,"MIKE, ISIAHA",22:07,13,4,6,0,1,5,7,1,0,1,0,1,0,0,0,2,6,14,-7.0
2025,2025,42,0,P013383   ,0.0,1.0,MUN,32,"GABRIEL, WENYEN",24:51,13,6,9,0,1,1,4,2,2,4,2,1,3,1,1,4,3,9,0.0
2025,2025,42,0,P013386   ,0.0,0.0,MUN,33,"MCCORMACK, DAVID",02:58,2,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,-3.0
2025,2025,42,0,P012597   ,1.0,1.0,MUN,44,"BALDWIN, KAMAR",25:03,11,3,5,0,0,5,5,0,3,3,7,2,1,0,0,4,3,19,3.0
2025,2025,42,0,Team,0.0,0.0,MUN,,Team,,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,4,
2025,2025,42,0,Total,,,MUN,,Total,200:00,73,22,41,5,21,14,20,9,17,26,19,11,11,1,2,23,24,77,
2025,2025,57,1,P007200   ,1.0,1.0,IST,0,"LARKIN, SHANE",32:49,13,2,3,2,5,3,4,0,4,4,9,0,5,0,0,3,6,19,7.0
2025,2025,57,1,P006590   ,0.0,0.0,IST,1,"BEAUBOIS, RODRIGUE",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,57,1,P011201   ,0.0,0.0,IST,2,"HAZER, SEHMUS",04:42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-3,-11.0
2025,2025,57,1,P009754   ,0.0,1.0,IST,3,"LOYD, JORDAN",19:52,9,1,3,2,5,1,2,0,1,1,2,1,1,0,1,3,1,3,-21.0
2025,2025,57,1,P010391   ,1.0,1.0,IST,8,"WEILER-BABB, NICK",30:34,17,1,3,4,6,3,4,0,0,0,2,1,3,0,0,0,5,17,3.0
2025,2025,57,1,P009549   ,1.0,1.0,IST,10,"CORDINIER, ISAIA",28:07,10,5,6,0,3,0,1,1,3,4,1,2,0,0,0,2,2,12,-8.0
2025,2025,57,1,P007109   ,1.0,0.0,IST,11,"SMITS, ROLANDS",29:37,8,3,6,0,2,2,3,3,2,5,0,1,1,0,0,5,4,6,-1.0
2025,2025,57,1,P010318   ,0.0,0.0,IST,13,"DESSERT, BRICE",05:46,3,1,1,0,0,1,4,0,1,1,0,0,0,0,0,1,2,2,-6.0
2025,2025,57,1,P012742   ,0.0,1.0,IST,15,"DOZIER, PJ",22:27,1,0,5,0,0,1,2,1,2,3,1,1,1,0,1,0,1,-1,-8.0
2025,2025,57,1,P014025   ,0.0,0.0,IST,21,"SWIDER, COLE",04:37,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-3.0
2025,2025,57,1,P012710   ,1.0,0.0,IST,24,"OSMANI, ERCAN",19:55,8,2,2,1,2,1,2,0,2,2,3,1,1,1,0,5,5,12,1.0
2025,2025,57,1,P006372   ,0.0,0.0,IST,33,"YILMAZ, ERKAN",01:34,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,-3.0
2025,2025,57,1,Team,0.0,0.0,IST,,Team,,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0,0,3,
2025,2025,57,1,Total,,,IST,,Total,200:00,69,15,29,9,25,12,22,7,20,27,18,7,14,1,2,20,26,72,
2025,2025,57,0,P014015   ,0.0,0.0,ULK,0,"BACOT JR., ARMANDO",11:43,9,3,4,0,0,3,3,1,3,4,0,0,3,0,0,3,2,8,6.0
2025,2025,57,0,P003091   ,0.0,0.0,ULK,1,"BIRSEN, METECAN",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,2025,57,0,P009863   ,0.0,1.0,ULK,2,"BALDWIN IV, WADE",27:48,10,4,9,0,2,2,4,1,6,7,8,2,7,0,0,1,5,15,20.0
2025,2025,57,0,P006661   ,0.0,1.0,ULK,3,"WILBEKIN, SCOTTIE",20:09,12,0,1,4,5,0,0,0,0,0,2,0,1,0,0,3,2,10,6.0
2025,2025,57,0,P002849   ,0.0,1.0,ULK,4,"MELLI, NICOLO",24:52,7,2,4,1,2,0,1,2,1,3,2,3,0,1,0,3,1,10,16.0
2025,2025,57,0,P014124   ,1.0,0.0,ULK,8,"HORTON TUCKER, TALEN",18:01,5,1,2,1,5,0,2,0,0,0,0,0,3,0,0,2,2,-5,-11.0
2025,2025,57,0,P006961   ,1.0,1.0,ULK,13,"BIBEROVIC, TARIK",20:50,8,3,3,0,2,2,2,2,2,4,1,2,1,0,0,3,1,10,4.0
2025,2025,57,0,P007929   ,0.0,0.0,ULK,17,"BITIM, ONURALP",02:17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2.0
2025,2025,57,0,P012613   ,1.0,0.0,ULK,18,"JANTUNEN, MIKAEL",06:48,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,-5,-7.0
