Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,8,20,PRS,P014008,"ROBINSON, JUSTIN",2FGM,Two Pointer,2,119,50,C,1,0,1,1,09:20,0,2,20251001174730
2025,8,22,ULK,P011205,"HALL, DEVON",2FGM,Two Pointer,2,163,388,E,0,0,0,2,08:50,2,2,20251001174800
2025,8,25,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,-614,250,H,0,0,0,2,08:27,2,2,20251001174823
2025,8,27,PRS,P007993,"M'BAYE, AMATH",2FGM,Two Pointer,2,-6,288,D,0,0,0,2,08:10,2,4,20251001174840
2025,8,29,ULK,P009783,"COLSON, BONZIE",3FGA,Missed Three Pointer,0,-457,514,H,0,0,0,3,07:44,2,4,20251001174906
2025,8,31,ULK,P012613,"JANTUNEN, MIKAEL",3FGM,Three Pointer,3,-652,244,H,0,1,0,3,07:39,5,4,20251001174911
2025,8,32,PRS,P014008,"ROBINSON, JUSTIN",2FGA,Missed Two Pointer,0,181,188,E,0,0,0,3,07:30,5,4,20251001174925
2025,8,46,ULK,P014015,"BACOT JR., ARMANDO",2FGM,Two Pointer,2,100,43,C,0,0,0,3,07:08,7,4,20251001175013
2025,8,49,PRS,P012640,"HIFI, NADIR",2FGA,Missed Two Pointer,0,175,37,C,0,0,0,4,06:58,7,4,20251001175023
2025,8,51,PRS,P011949,"HOMMES, DAULTON",3FGM,Three Pointer,3,677,-43,I,0,1,0,4,06:45,7,7,20251001175036
2025,8,53,ULK,P012613,"JANTUNEN, MIKAEL",2FGM,Two Pointer,2,-62,175,B,0,0,0,4,06:29,9,7,20251001175052
2025,8,55,PRS,P012640,"HIFI, NADIR",3FGA,Missed Three Pointer,0,-207,677,H,0,0,0,4,06:13,9,7,20251001175109
2025,8,66,ULK,P014015,"BACOT JR., ARMANDO",2FGM,Two Pointer,2,-6,18,A,0,0,0,5,05:55,11,7,20251001175158
2025,8,68,PRS,P012640,"HIFI, NADIR",3FGM,Three Pointer,3,-382,589,H,1,0,0,5,05:45,11,10,20251001175208
2025,8,74,PRS,P009664,"WILLIS, DEREK",2FGA,Missed Two Pointer,0,43,552,G,0,0,0,5,05:07,11,10,20251001175303
2025,8,87,ULK,P002849,"MELLI, NICOLO",3FGA,Missed Three Pointer,0,-683,12,H,0,0,0,6,04:53,11,10,20251001175357
2025,8,94,PRS,P010431,"MORGAN, JEREMY",3FGA,Missed Three Pointer,0,-6,727,H,0,0,0,6,04:17,11,10,20251001175701
2025,8,97,PRS,P014008,"ROBINSON, JUSTIN",3FGM,Three Pointer,3,-696,-25,H,0,0,1,6,04:09,11,13,20251001175728
2025,8,100,ULK,P009863,"BALDWIN IV, WADE",2FGM,Two Pointer,2,-43,407,D,0,0,0,7,03:43,13,13,20251001175753
2025,8,101,PRS,P013373,"CAVALIERE, LEOPOLD",2FGA,Missed Two Pointer,0,75,232,E,0,0,0,7,03:24,13,13,20251001175812
2025,8,103,PRS,P007993,"M'BAYE, AMATH",3FGA,Missed Three Pointer,0,677,244,I,0,0,0,7,03:20,13,13,20251001175817
2025,8,105,PRS,P010431,"MORGAN, JEREMY",2FGM,Two Pointer,2,-62,50,B,0,1,0,7,03:17,13,15,20251001175819
2025,8,110,ULK,P006961,"BIBEROVIC, TARIK",3FGA,Missed Three Pointer,0,50,708,I,0,0,0,8,02:59,13,15,20251001180024
2025,8,112,PRS,P014008,"ROBINSON, JUSTIN",3FGA,Missed Three Pointer,0,-81,727,H,0,0,0,8,02:42,13,15,20251001180041
2025,8,114,PRS,P004197,"OUATTARA, YAKUBA",2FGA,Missed Two Pointer,0,-276,43,B,0,0,0,8,02:33,13,15,20251001180117
2025,8,118,PRS,P013373,"CAVALIERE, LEOPOLD",2FGM,Two Pointer,2,-112,43,B,1,0,1,8,02:13,13,17,20251001180137
2025,8,121,ULK,P014016,"BOSTON JR., BRANDON",3FGM,Three Pointer,3,658,175,I,0,0,0,9,01:59,16,17,20251001180151
2025,8,142,ULK,P014124,"HORTON TUCKER, TALEN",FTM,Free Throw In,1,-1,-1, ,0,0,1,9,01:36,17,17,20251001180323
2025,8,145,PRS,P009664,"WILLIS, DEREK",3FGA,Missed Three Pointer,0,388,639,I,0,0,0,9,01:15,17,17,20251001180414
2025,8,147,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,677,37,I,0,0,0,9,01:02,17,17,20251001180427
2025,8,150,ULK,P006961,"BIBEROVIC, TARIK",3FGM,Three Pointer,3,-376,589,H,0,1,0,10,00:54,20,17,20251001180433
2025,8,155,PRS,P004197,"OUATTARA, YAKUBA",FTM,Free Throw In,1,-1,-1, ,0,0,0,10,00:42,20,18,20251001180700
2025,8,156,PRS,P004197,"OUATTARA, YAKUBA",FTM,Free Throw In,1,-1,-1, ,0,0,0,10,00:42,20,19,20251001180717
2025,8,172,ULK,P009863,"BALDWIN IV, WADE",FTM,Free Throw In,1,-1,-1, ,0,0,0,10,00:28,21,19,20251001180858
2025,8,173,ULK,P009863,"BALDWIN IV, WADE",FTM,Free Throw In,1,-1,-1, ,0,0,0,10,00:28,22,19,20251001180912
2025,8,174,PRS,P004197,"OUATTARA, YAKUBA",2FGA,Missed Two Pointer,0,138,50,C,0,0,0,10,00:15,22,19,20251001180932
2025,8,176,PRS,P007993,"M'BAYE, AMATH",2FGA,Missed Two Pointer,0,-56,81,B,0,0,0,10,00:12,22,19,20251001180935
2025,8,178,ULK,P003091,"BIRSEN, METECAN",2FGM,Two Pointer,2,100,50,C,1,0,0,10,00:05,24,19,20251001180947
2025,8,182,ULK,P003091,"BIRSEN, METECAN",FTM,Free Throw In,1,-1,-1, ,1,0,0,10,00:05,25,19,20251001181011
2025,8,187,PRS,P014008,"ROBINSON, JUSTIN",3FGA,Missed Three Pointer,0,0,872,H,0,0,0,10,00:02,25,19,20251001181101
