season,Season,Gamecode,Home,Player_ID,IsStarter,IsPlaying,Team,Dorsal,Player,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Valuation,Plusminus
2023,2023,93,1,P011157   ,0.0,0.0,ULK,0,"MOTLEY, JOHNATHAN",28:48,9,1,4,0,0,7,10,4,2,6,3,0,3,0,0,4,5,10,19.0
2023,2023,93,1,P006661   ,0.0,0.0,ULK,3,"WILBEKIN, SCOTTIE",24:14,19,5,8,2,3,3,3,2,3,5,0,2,0,0,0,4,4,22,10.0
2023,2023,93,1,P002968   ,0.0,0.0,ULK,5,"SANLI, SERTAC",14:09,3,1,6,0,3,1,1,1,2,3,2,0,1,0,0,0,1,0,-1.0
2023,2023,93,1,P005844   ,1.0,0.0,ULK,9,"PAPAGIANNIS, GEORGIOS",11:26,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,-2,-16.0
2023,2023,93,1,P002969   ,0.0,0.0,ULK,10,"MAHMUTOGLU, MELIH",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,2023,93,1,P008962   ,1.0,1.0,ULK,11,"HAYES-DAVIS, NIGEL",37:10,16,6,7,1,4,1,1,2,5,7,1,0,0,1,0,3,3,21,-6.0
2023,2023,93,1,P006961   ,0.0,0.0,ULK,13,"BIBEROVIC, TARIK",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,2023,93,1,P010560   ,1.0,1.0,ULK,21,"PIERRE, DYSHAWN",15:16,0,0,2,0,1,0,0,2,0,2,0,0,0,0,0,3,0,-4,-11.0
2023,2023,93,1,P004004   ,1.0,1.0,ULK,23,"GUDURIC, MARKO",33:09,21,2,4,4,10,5,6,0,7,7,5,3,1,0,0,3,6,29,9.0
2023,2023,93,1,P009849   ,0.0,0.0,ULK,27,"DORSEY, TYLER",17:44,2,0,1,0,0,2,2,1,0,1,0,0,3,0,0,1,1,-1,-6.0
2023,2023,93,1,P001932   ,1.0,1.0,ULK,33,"CALATHES, NICK",20:42,13,3,6,2,4,1,2,1,0,1,1,0,3,0,0,3,1,4,3.0
2023,2023,93,1,P011052   ,0.0,1.0,ULK,41,"MADAR, YAM",22:22,17,3,6,3,4,2,2,0,1,1,2,2,0,0,1,2,1,16,4.0
2023,2023,93,1,Team,0.0,0.0,ULK,,Team,,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,
2023,2023,93,1,Total,,,ULK,,Total,225:00,100,21,44,12,32,22,27,15,22,37,14,8,11,1,1,23,22,99,
2023,2023,93,0,PBMT      ,0.0,0.0,MAD,5,"FERNANDEZ, RUDY",21:56,2,0,0,0,1,2,2,1,2,3,1,0,0,0,0,1,2,6,-13.0
2023,2023,93,0,P003733   ,0.0,0.0,MAD,6,"ABALDE, ALBERTO",03:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-3.0
2023,2023,93,0,P005928   ,1.0,1.0,MAD,7,"CAMPAZZO, FACUNDO",37:05,33,11,11,2,10,5,5,0,2,2,7,2,5,0,0,3,4,32,13.0
2023,2023,93,0,P003108   ,0.0,1.0,MAD,11,"HEZONJA, MARIO",15:58,3,1,3,0,2,1,2,1,2,3,0,1,0,0,0,2,1,1,-12.0
2023,2023,93,0,P010623   ,0.0,0.0,MAD,12,"ALOCEN, CARLOS",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,2023,93,0,PCVM      ,0.0,0.0,MAD,13,"RODRIGUEZ, SERGIO",07:12,2,0,1,0,1,2,2,0,1,1,2,0,2,0,0,1,2,2,-9.0
2023,2023,93,0,P009005   ,1.0,1.0,MAD,14,"DECK, GABRIEL",38:04,14,5,9,0,1,4,5,1,7,8,2,1,0,0,1,3,4,19,8.0
2023,2023,93,0,P004887   ,0.0,1.0,MAD,17,"POIRIER, VINCENT",23:46,11,4,7,0,0,3,4,3,5,8,0,0,0,1,0,1,4,19,-18.0
2023,2023,93,0,P005791   ,1.0,0.0,MAD,22,"TAVARES, WALTER",21:10,7,3,4,0,0,1,2,3,4,7,1,0,4,0,0,5,2,6,16.0
2023,2023,93,0,PTGB      ,1.0,1.0,MAD,23,"LLULL, SERGIO",31:19,14,2,5,3,7,1,1,0,2,2,2,0,1,0,0,2,2,10,4.0
2023,2023,93,0,P009213   ,1.0,0.0,MAD,30,"NDIAYE, ELI",07:58,2,1,1,0,0,0,0,1,1,2,0,0,2,0,0,0,0,2,9.0
2023,2023,93,0,P006540   ,0.0,0.0,MAD,31,"MUSA, DZANAN",17:16,11,5,8,0,1,1,1,0,1,1,0,0,0,0,0,4,1,5,0.0
2023,2023,93,0,Team,0.0,0.0,MAD,,Team,,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,7,
2023,2023,93,0,Total,,,MAD,,Total,225:00,99,32,49,5,23,20,24,14,30,44,15,4,14,1,1,22,23,110,
2023,2023,248,1,P001392   ,0.0,0.0,MAD,1,"CAUSEUR, FABIEN",07:24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.0
2023,2023,248,1,P003733   ,0.0,0.0,MAD,6,"ABALDE, ALBERTO",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,2023,248,1,P005928   ,1.0,0.0,MAD,7,"CAMPAZZO, FACUNDO",22:56,6,2,5,0,2,2,2,1,0,1,5,1,2,0,0,2,3,7,-5.0
2023,2023,248,1,P003108   ,1.0,1.0,MAD,11,"HEZONJA, MARIO",29:52,13,5,8,0,2,3,3,0,4,4,1,0,0,0,0,3,3,13,-5.0
2023,2023,248,1,P010623   ,0.0,0.0,MAD,12,"ALOCEN, CARLOS",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
